year,month,day,dayofweek,main_sum,main_range,main_even_count,main_high_count,stars_sum,stars_even_count,jackpot_val,main_any_days_since_seen_avg,star_any_days_since_seen_avg,N1_lag1,N1_lag2,N1_lag3,N2_lag1,N2_lag2,N2_lag3,N3_lag1,N3_lag2,N3_lag3,N4_lag1,N4_lag2,N4_lag3,N5_lag1,N5_lag2,N5_lag3,E1_lag1,E1_lag2,E1_lag3,E2_lag1,E2_lag2,E2_lag3,N1_days_since_seen,N2_days_since_seen,N3_days_since_seen,N4_days_since_seen,N5_days_since_seen,E1_days_since_seen,E2_days_since_seen,N1_rolling_unique_10,N1_rolling_unique_25,N1_rolling_unique_50,N2_rolling_unique_10,N2_rolling_unique_25,N2_rolling_unique_50,N3_rolling_unique_10,N3_rolling_unique_25,N3_rolling_unique_50,N4_rolling_unique_10,N4_rolling_unique_25,N4_rolling_unique_50,N5_rolling_unique_10,N5_rolling_unique_25,N5_rolling_unique_50,E1_rolling_unique_10,E1_rolling_unique_25,E1_rolling_unique_50,E2_rolling_unique_10,E2_rolling_unique_25,E2_rolling_unique_50,target_N1,target_N2,target_N3,target_N4,target_N5,target_E1,target_E2
2005,9,23,4,139,46,2,4,13,1,15000000,109.2,28.0,12.0,8.0,3.0,13.0,12.0,4.0,19.0,19.0,14.0,21.0,31.0,43.0,38.0,50.0,50.0,3.0,6.0,3.0,9.0,7.0,6.0,70.0,175.0,119.0,301.0,105.0,49.0,7.0,8.0,12.0,16.0,10.0,18.0,22.0,9.0,17.0,23.0,9.0,21.0,30.0,7.0,12.0,21.0,5.0,7.0,8.0,6.0,7.0,7.0,6.0,11.0,47.0,48.0,50.0,1.0,6.0
2005,10,7,4,106,42,3,2,12,0,15000000,54.6,17.5,6.0,1.0,12.0,11.0,26.0,13.0,47.0,31.0,19.0,48.0,34.0,21.0,50.0,47.0,38.0,1.0,4.0,3.0,6.0,9.0,9.0,63.0,21.0,63.0,154.0,154.0,21.0,14.0,9.0,12.0,15.0,8.0,17.0,22.0,8.0,17.0,24.0,9.0,20.0,30.0,7.0,12.0,21.0,5.0,7.0,8.0,4.0,7.0,7.0,10.0,11.0,19.0,20.0,23.0,1.0,6.0
2005,11,25,4,120,46,1,3,7,1,24000000,120.4,28.0,17.0,15.0,26.0,18.0,16.0,36.0,25.0,36.0,37.0,34.0,41.0,38.0,48.0,42.0,42.0,2.0,3.0,2.0,3.0,5.0,6.0,35.0,574.0,322.0,210.0,63.0,35.0,21.0,8.0,15.0,18.0,8.0,17.0,23.0,9.0,20.0,26.0,9.0,21.0,28.0,7.0,15.0,21.0,4.0,6.0,8.0,5.0,7.0,7.0,1.0,9.0,20.0,23.0,30.0,4.0,7.0
2005,12,9,4,144,31,3,3,6,0,44000000,49.0,21.0,1.0,1.0,17.0,9.0,6.0,18.0,20.0,27.0,25.0,23.0,39.0,34.0,30.0,47.0,48.0,4.0,1.0,2.0,7.0,6.0,3.0,112.0,21.0,105.0,35.0,28.0,14.0,28.0,8.0,15.0,18.0,8.0,17.0,23.0,9.0,19.0,26.0,9.0,20.0,28.0,8.0,14.0,20.0,4.0,6.0,8.0,6.0,7.0,7.0,2.0,3.0,15.0,18.0,32.0,6.0,7.0
2005,12,16,4,70,30,3,1,13,1,55000000,81.2,17.5,11.0,1.0,1.0,18.0,9.0,6.0,35.0,20.0,27.0,38.0,23.0,39.0,42.0,30.0,47.0,1.0,4.0,1.0,5.0,7.0,6.0,70.0,371.0,378.0,182.0,399.0,98.0,14.0,8.0,15.0,18.0,8.0,17.0,24.0,9.0,20.0,26.0,9.0,20.0,28.0,8.0,14.0,21.0,5.0,6.0,8.0,5.0,7.0,7.0,15.0,31.0,36.0,37.0,42.0,1.0,7.0
2005,12,30,4,131,37,2,2,5,1,75000000,107.8,17.5,15.0,2.0,11.0,31.0,3.0,18.0,36.0,15.0,35.0,37.0,18.0,38.0,42.0,32.0,42.0,1.0,6.0,1.0,7.0,7.0,5.0,112.0,49.0,70.0,119.0,189.0,7.0,161.0,8.0,13.0,18.0,7.0,17.0,25.0,9.0,18.0,26.0,9.0,18.0,27.0,7.0,14.0,20.0,5.0,6.0,8.0,5.0,7.0,7.0,2.0,6.0,9.0,14.0,26.0,4.0,5.0
2006,1,20,4,154,38,3,3,8,2,125000000,42.0,35.0,8.0,2.0,8.0,12.0,6.0,16.0,19.0,9.0,19.0,33.0,14.0,43.0,34.0,26.0,45.0,1.0,4.0,1.0,6.0,5.0,4.0,126.0,532.0,301.0,294.0,84.0,63.0,7.0,7.0,13.0,18.0,8.0,17.0,26.0,9.0,17.0,27.0,10.0,20.0,28.0,9.0,15.0,21.0,4.0,6.0,8.0,5.0,7.0,7.0,9.0,15.0,21.0,40.0,49.0,1.0,4.0
2006,1,27,4,134,40,1,2,5,1,146000000,95.2,17.5,12.0,8.0,2.0,15.0,12.0,6.0,33.0,19.0,9.0,44.0,33.0,14.0,50.0,34.0,26.0,2.0,1.0,4.0,6.0,6.0,5.0,154.0,7.0,112.0,154.0,189.0,14.0,28.0,7.0,13.0,18.0,8.0,17.0,26.0,9.0,17.0,27.0,10.0,19.0,28.0,9.0,16.0,21.0,4.0,6.0,8.0,4.0,7.0,7.0,9.0,21.0,30.0,39.0,50.0,1.0,3.0
2006,2,3,4,149,41,2,3,4,0,183000000,32.2,42.0,9.0,12.0,8.0,15.0,15.0,12.0,21.0,33.0,19.0,40.0,44.0,33.0,49.0,50.0,34.0,1.0,2.0,1.0,4.0,6.0,6.0,7.0,350.0,175.0,70.0,14.0,7.0,77.0,7.0,13.0,17.0,9.0,17.0,26.0,9.0,17.0,27.0,10.0,19.0,28.0,8.0,15.0,20.0,4.0,5.0,7.0,5.0,7.0,7.0,5.0,6.0,38.0,48.0,50.0,6.0,7.0
2006,2,17,4,115,34,4,2,6,2,27000000,95.2,24.5,5.0,9.0,9.0,6.0,21.0,15.0,38.0,30.0,21.0,48.0,39.0,40.0,50.0,50.0,49.0,6.0,1.0,1.0,7.0,3.0,4.0,231.0,189.0,413.0,133.0,154.0,28.0,21.0,7.0,15.0,18.0,8.0,16.0,25.0,9.0,18.0,29.0,10.0,19.0,28.0,8.0,14.0,19.0,4.0,5.0,7.0,5.0,7.0,7.0,1.0,11.0,18.0,19.0,47.0,3.0,7.0
2006,3,3,4,70,41,3,1,8,0,26000000,65.8,31.5,1.0,4.0,5.0,11.0,23.0,6.0,18.0,24.0,38.0,19.0,26.0,48.0,47.0,38.0,50.0,3.0,2.0,6.0,7.0,4.0,7.0,182.0,245.0,630.0,630.0,147.0,7.0,56.0,8.0,15.0,18.0,8.0,16.0,25.0,9.0,19.0,30.0,10.0,20.0,30.0,8.0,14.0,18.0,5.0,5.0,7.0,5.0,7.0,7.0,1.0,21.0,33.0,45.0,49.0,4.0,8.0
